learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.015625,-4.042198674546348E-14,1000.0,0.0,83.03999999999999,1.0741404832598807,61.873678932818,2.210196345424364,63.83795309168443,2.2902782159059347,51.54285714285714,3.0689728093139506
2000.0,0.03125,-8.084397349092696E-14,2000.0,0.0,83.65,1.9761072845369574,61.740180131898526,4.456965020125629,61.16389548693587,4.693841530966625,49.846625766871156,6.061678786923156
3000.0,0.046875,-1.2126596023639043E-13,3000.0,0.0,84.47999999999999,1.077857958071367,67.18240771856786,2.1024740882519857,68.45528455284551,2.190768207462134,60.50890585241729,2.742641114685417
4000.0,0.078125,-2.021099337273174E-13,4000.0,0.0,84.38999999999999,1.0948871073210107,64.90588678330766,2.5420783439361077,64.197247706422,2.511208961745446,56.396648044692725,3.0583438751983647
5000.0,0.09375,-2.425319204727808E-13,5000.0,0.0,85.96,0.5059644256269427,68.16347620122752,1.1652516181306734,70.37974683544303,1.0674354971032494,60.33898305084745,1.429278038494185
6000.0,0.109375,-2.8295390721824404E-13,6000.0,0.0,87.38999999999999,1.0733643887846822,70.17297396968632,2.504680367013524,71.34090909090908,2.4394645199651825,62.358208955223866,3.2040728023423357
7000.0,0.125,-3.233758939637073E-13,7000.0,0.0,85.31,1.857985767198206,67.55008531550496,3.8822037833614527,68.06521739130433,4.039099493909149,59.53168044077134,5.118418091455124
8000.0,0.15625,-4.0421986745463425E-13,8000.0,0.0,83.65,1.4001983986405468,63.02872995367654,2.958873351294528,63.00904977375564,3.1678696801822412,53.4188034188034,3.989169226896153
9000.0,0.171875,-4.446418542000975E-13,9000.0,0.0,85.69000000000001,0.8761658899242057,68.59028854530081,1.8398731284401277,69.35760171306208,1.8761582225357634,61.42857142857142,2.361633126480328
10000.0,0.1875,-4.850638409455611E-13,10000.0,0.0,85.16000000000001,1.0057611821677914,67.16833499600598,2.20501307857244,68.8235294117647,2.1129436600163713,59.342465753424655,2.755510088130937
11000.0,0.203125,-5.254858276910249E-13,11000.0,0.0,85.07,1.1926161718395956,67.21418812902272,2.5982069058147252,69.59266802443992,2.4289535068016264,59.095890410958894,3.2674415666838286
12000.0,0.234375,-6.063298011819513E-13,12000.0,0.0,83.46999999999998,0.5618422079789541,62.84164268271966,1.3030116004176795,64.75479744136459,1.1979577995286887,54.210526315789465,1.5563496065899023
13000.0,0.25,-6.467517879274151E-13,13000.0,0.0,83.89999999999999,0.8869423130433408,65.1517033374605,1.947111824196417,65.3763440860215,1.907402823749116,58.39793281653746,2.291840602179169
14000.0,0.265625,-6.871737746728788E-13,14000.0,0.0,83.6,0.791622805802531,66.71468146306522,1.619960909756402,65.4736842105263,1.6665743280053185,63.06306306306305,1.7829342473029917
15000.0,0.28125,-7.275957614183425E-13,15000.0,0.0,86.30999999999999,1.1080012033687845,71.92175447982831,2.306363179535036,72.28744939271255,2.2429174157262777,68.16279069767441,2.5767469845785618
16000.0,0.296875,-7.680177481638063E-13,16000.0,0.0,85.42999999999999,1.60281003241183,70.139922056776,3.258131685768151,68.86752136752136,3.4248077615637356,66.58256880733944,3.676169799109696
17000.0,0.328125,-8.488617216547327E-13,17000.0,0.0,84.43999999999998,1.0616548926610379,67.56622236162764,2.3335091620565755,68.30957230142566,2.162229923953231,62.23300970873787,2.576832263740374
18000.0,0.34375,-8.892837084001965E-13,18000.0,0.0,81.04,1.1577756451249257,60.705597897704,2.302632052481016,60.3347280334728,2.4221247805960786,55.07109004739337,2.743544182760489
19000.0,0.359375,-9.297056951456601E-13,19000.0,0.0,84.62,1.3766303465749694,68.64242718979463,2.72693847452189,68.73983739837398,2.798029159705223,65.20361990950225,3.114548295418478
20000.0,0.375,-9.701276818911238E-13,20000.0,0.0,86.58999999999997,1.5523816827342702,72.33506822079268,3.185129201459709,73.55029585798817,3.061896810126772,68.29787234042554,3.6699330561093957
21000.0,0.40625,-1.0509716553820513E-12,21000.0,0.0,82.32999999999998,1.2737084962161997,63.9997816169522,2.5391433832693484,63.71663244353182,2.6154178567067694,59.37931034482759,2.928065508542983
22000.0,0.421875,-1.091393642127515E-12,22000.0,0.0,86.47,0.6600505031182576,72.1425336068297,1.3761795486376134,72.66666666666666,1.3334353598348725,68.82488479262673,1.520853693820874
23000.0,0.4375,-1.1318156288729788E-12,23000.0,0.0,84.73,1.55066294066621,68.36155514484422,3.3242993568974475,71.07954545454545,2.936861630049631,64.23887587822013,3.6315291350496617
24000.0,0.46875,-1.2126596023639063E-12,24000.0,0.0,84.02,1.245257670792141,66.90194087530168,2.499508590751432,69.50381679389314,2.376445936626225,62.31132075471698,2.9369284688493917
25000.0,0.484375,-1.25308158910937E-12,25000.0,0.0,85.78999999999999,0.6573515886579375,70.86782752845777,1.3424571759151973,70.8811475409836,1.3470319439711813,67.10648148148148,1.521647195967445
26000.0,0.5,-1.2935035758548337E-12,26000.0,0.0,86.29999999999998,0.8485281374238501,66.25300479270891,2.4074639403968017,67.30310262529834,2.0251268196273458,54.785478547854794,2.800422895788311
27000.0,0.515625,-1.3339255626002975E-12,27000.0,0.0,84.78999999999999,1.242264956529894,60.81150053782299,3.043801587102263,61.0,3.185294760333067,47.37024221453287,4.298494659273
28000.0,0.546875,-1.414769536091225E-12,28000.0,0.0,86.97,0.9262229153334987,69.40442638406834,1.966847623683739,68.82775119617224,2.2158442950562187,59.28124999999999,2.89444661041719
29000.0,0.5625,-1.4551915228366887E-12,29000.0,0.0,85.65,1.3393613735242988,62.32389913270988,3.8374198940877453,64.6551724137931,3.298919639222407,49.113475177304956,4.749508416752827
30000.0,0.578125,-1.4956135095821524E-12,30000.0,0.0,86.52,0.5977736472389296,63.78133410269921,2.097761477194591,66.3,1.4944341180973262,52.367491166077734,2.1122743718690145
31000.0,0.59375,-1.5360354963276162E-12,31000.0,0.0,85.33,1.4360826345769018,63.74563623873975,3.5490244214871827,66.12009237875289,3.3165880706164006,53.57594936708859,4.544565299293994
32000.0,0.625,-1.6168794698185436E-12,32000.0,0.0,87.82,1.0368756488176927,70.1754256944583,2.3861577444247537,72.0,2.3836221811900953,61.33333333333332,3.2916687264053768
33000.0,0.640625,-1.6573014565640074E-12,33000.0,0.0,86.25,1.3834337312964755,65.3072608221561,3.1167001885839283,67.6470588235294,3.2551381912858295,54.4701986754967,4.5809063950214455
34000.0,0.65625,-1.6977234433094711E-12,34000.0,0.0,83.92999999999999,1.588185547514316,58.03114967227189,4.162699855438933,61.3701923076923,3.8177537199863303,44.39446366782007,5.495451721502813
35000.0,0.671875,-1.7381454300549349E-12,35000.0,0.0,86.54,0.9155447680054853,63.28364885385321,2.469814087045207,66.43391521197007,2.283154034926403,51.92857142857143,3.269802742876745
36000.0,0.6875,-1.7785674168003986E-12,36000.0,0.0,87.84,1.3961852790132618,69.89781059851634,3.393692460257306,72.97777777777777,3.1026339533627985,61.640378548895896,4.40436996534152
37000.0,0.71875,-1.859411390291326E-12,37000.0,0.0,85.0,1.2400716825158848,61.92026518001262,3.305149113242809,61.139896373056985,3.212620939160326,46.619217081850536,4.41306648582166
38000.0,0.734375,-1.8998333770367876E-12,38000.0,0.0,82.81,0.7400450436741467,63.449404474851214,1.6055829723772201,62.54901960784312,1.6122985700961803,56.48101265822784,1.8735317561370755
39000.0,0.75,-1.9402553637822493E-12,39000.0,0.0,84.32000000000001,1.4187631546135147,68.09538780299121,2.890951446609598,67.33333333333333,2.9557565721114893,64.99999999999999,3.166882041548026
40000.0,0.78125,-2.0210993372731768E-12,40000.0,0.0,85.5,1.5318833724101368,70.94909434273468,3.0727748605858056,70.04132231404958,3.165048290103604,69.97929606625257,3.1716011851141674
41000.0,0.796875,-2.0615213240186385E-12,41000.0,0.0,83.46,2.8288984899898164,66.09046680654932,5.946451595711564,65.17894736842105,5.955575768399612,61.80138568129331,6.533252863717819
42000.0,0.8125,-2.1019433107641002E-12,42000.0,0.0,84.82000000000001,0.5996295152471711,69.17593966470045,1.1690906703320973,69.14634146341463,1.218759177331647,66.19153674832961,1.335477762243143
43000.0,0.828125,-2.142365297509562E-12,43000.0,0.0,83.51,0.4976611966656306,66.55537796437676,0.9988305023154015,67.85575048732943,0.9700997985684782,63.35555555555555,1.1059137703680677
44000.0,0.859375,-2.2232092710004894E-12,44000.0,0.0,82.73,1.1116054455905942,65.10994085217247,2.2683699116585956,65.46,2.2232108911811923,61.96035242290748,2.4484701444726813
45000.0,0.875,-2.263631257745951E-12,45000.0,0.0,86.73,0.7616502551113074,73.10894266470308,1.5777349320225724,73.72277227722772,1.5082183269530747,70.57649667405764,1.6888032264108745
46000.0,0.90625,-2.3444752312368786E-12,46000.0,0.0,85.22,1.314703177315875,70.21243813928132,2.614960326344105,70.32128514056225,2.639966219509781,68.07775377969762,2.8395317004662477
47000.0,0.921875,-2.3848972179823403E-12,47000.0,0.0,85.78,2.0378638052845672,71.54420198045163,4.064290307565011,71.3306451612903,4.108596381622111,70.86065573770493,4.175950420665098
48000.0,0.9375,-2.425319204727802E-12,48000.0,0.0,86.78,1.0819735055289763,73.49198545507457,2.1589939083723295,73.6127744510978,2.159627755546864,72.28511530398322,2.268288271549222
49000.0,0.953125,-2.4657411914732638E-12,49000.0,0.0,82.42,2.3015936507848873,64.39071860429004,4.717224879002098,64.84,4.603187301569782,61.192052980132445,5.08078068605936
50000.0,0.96875,-2.5061631782187255E-12,50000.0,0.0,86.03999999999999,1.6084499094193534,72.06823137100788,3.1997487842347048,73.10211946050096,3.0991327734476903,70.91666666666667,3.350937311290313
